,username,text,likes,date
0,@MuhammadSmiry,lsrael killed 350 Palestinians in the last 24 hours in Gaza  The total without the missing is 17177.,27697,"Dec 7, 2023 · 12:17 PM UTC"
1,@mohammedakunjee,"The cries of the children of Gaza as they died, the screams as their limbs were torn from them have been heard by us all . We all will give voice to their pain, that voice will be deployed to the faces of those responsible for these myriad war crimes. We will be the conscience for those without any.",22,"Dec 8, 2023 · 1:42 AM UTC"
2,@mynameisjro,The killing of Refaat Alareer is a testament that Israel is systematically murdering the truth tellers in Gaza. This should enrage any and every journalist.,2043,"Dec 7, 2023 · 8:08 PM UTC"
3,@ashoswai,"This is Gaza! If these images have not troubled you for the last two months, this is not going to bother you now. See a doctor.",52312,"Dec 7, 2023 · 5:22 PM UTC"
4,@jacksonhinklle,💔🇵🇸 Childhood in Gaza under the ISRAELI GENOCIDE!,28138,"Dec 7, 2023 · 5:58 PM UTC"
5,@MuhammadSmiry,I am still alive | Gaza,4184,"Dec 8, 2023 · 3:27 AM UTC"
6,@zaramagnusson,"Only in Gaza do you become an orphan and a parent at the age of 7 💔   These children are having to endure unimaginable pain and take on responsibilities far, far beyond their age 🥹   How cruel your oppressors are my little loves, they’re waging a war on your innocent souls 😞💔",29416,"Dec 6, 2023 · 5:13 PM UTC"
7,@MayaSchenwar,"This Hanukkah, we need to rededicate ourselves to action for a ceasefire and a free Palestine. I wrote this piece for @truthout & @inthesetimesmag about Jewish Fast for Gaza.  Hanukkah Is a Time for Palestine Solidarity, From Fasting to Public Disruption https://truthout.org/articles/hanukkah-is-a-time-for-palestine-solidarity-from-fasting-to-public-disruption/",87,"Dec 7, 2023 · 3:12 PM UTC"
8,@AkbarSAhmed,"NEW: Gaza may soon become a bigger war - US officials fear Israel wants weapons to fight in Lebanon - Israel won't share plans w/ Biden admin or Congress - Top officials discuss Iraq/Syria escalation - Aid orgs ""ringing alarm bell more than they ever have"" https://www.huffpost.com/entry/israel-gaza-war-lebanon-iran-us-yemen_n_65724dd5e4b001ec86a76c9a?gae",119,"Dec 8, 2023 · 3:29 AM UTC"
9,@Shirinkhan0,No difference  #Gaza_Geniocide,760,"Dec 7, 2023 · 6:24 PM UTC"
10,@Timesofgaza,Schools Are Being Targeted :  Israeli snipers positioned on top of a school where displaced people are seeking refuge from constant bombardment in Gaza City.  Earlier today another massacre took place at a school housing refugees in Northern Gaza.,4160,"Dec 7, 2023 · 2:19 PM UTC"
11,@OliLondonTV,At least 100 Hamas terrorists captured by IDF Forces today.   Pro-Palestinian accounts are attempting to claim these people are ‘innocent civilians’ and ‘journalists.’  These terrorists are from the Shejaiya Battalion operates in the Shejaiya neighborhood of Gaza and is responsible for numerous attacks against Israel.   They were heavily involved in the October 7th attacks in Israel.,5393,"Dec 7, 2023 · 10:27 PM UTC"
12,@visegrad24,Another good day for the IDF  Hamas will soon have lost control of all parts of Gaza,11008,"Dec 7, 2023 · 10:55 PM UTC"
13,@KatanaSpeaks,"TikTok banned @WomenPhilosophers after I posted videos on:  How children are being raped in Israeli prisons & Israel is covering it up and,  How Israel plans on salting Gaza which will render the land uninhabitable  My new TikTok page is @HanaKatanaDragonSlayer   Free Palestine🇵🇸",5764,"Dec 7, 2023 · 6:54 AM UTC"
14,@EekadFacts,"#OpenProbe🧵 | Having gained popularity among international audiences, the Gaza Report positioned itself as a reliable local news outlet on a global scale. However, skepticism has arisen, challenging its credibility and casting doubt on its status as a trustworthy source, as we began to notice its tendency to disseminate information aligning with Israel’s narrative.  @gaza_report",2271,"Dec 7, 2023 · 12:35 PM UTC"
15,@itranslate123,"George Floyd was all over the walls in occupied Palestine 🇵🇸, from Gaza to the West Bank.  Palestinians have supported Black Lives Matter and sent virtual tips for the Ferguson protesters to deal with tear gas.  Meanwhile, Israel trains American police to kill Black people. #blm",11255,"Oct 29, 2023 · 1:27 PM UTC"
16,@zei_squirrel,"Refaat Alareer, Palestinian writer and reporter from Gaza, before he was killed along with his family: ""If I get killed by Israeli bombs or my family is harmed, I blame Bari Weiss and her likes.""",3430,"Dec 7, 2023 · 9:07 PM UTC"
17,@Bernadotte22,"do you want me to respect this world ????? Sorry i can’t   😭💔we ant a humans if we are just watching this silently   Israel bombed and killed his family in Gaza Now he have them in a bag, on the way to bury them.  #IsraeliButchers",607,"Dec 8, 2023 · 1:49 AM UTC"
18,@malsaafin,“The majority of young people [in Gaza] you see today on social media writing in English are his students. So he trained an army of writers and bloggers to write and to tell the story.”,887,"Dec 8, 2023 · 2:24 AM UTC"
19,@DrEliDavid,"Hi Palestinians in Gaza 👋  You took part in the October 7 massacre, and committed some of the most horrendous crimes. You celebrated in the streets as Israeli hostages were paraded. You thanked God for giving you that “glorious victory”.  Look around you now. Was it worth it?",7168,"Dec 7, 2023 · 6:46 PM UTC"
20,@brandonshimoda,"""Writing is a testimony, a memory that outlives any human experience, and an obligation to communicate with ourselves and the world. We lived for a reason, to tell the tales of loss, of survival, and of hope,"" I told my students.  Refaat Alareer, in Light in Gaza @haymarketbooks",23,"Dec 8, 2023 · 3:41 AM UTC"
21,@azaizamotaz9,"Israeli army arrested Palestinian civilians from a school in Beit Lahia in the north of Gaza Strip, and forced them to take off their cloths and left them in the cold street before detaining them They were all civilians",74707,"Dec 7, 2023 · 8:51 PM UTC"
22,@GazaMartyrs,"I am Dr. Rafat al-Araeer, 44 years old.  I'm an academic and lecturer at the Islamic University of Gaza, teaching foreign poetry and English literature.  I've participated in writing novels and books about the challenges of life in Gaza under Israeli blockade. I've been very active in exposing Israeli crimes on social media.  I always used to say: ""When we write about martyrs, it must be known that the Israeli occupation killed them. We must not leave the perpetrator unknown.""  The last thing I said was: ""The situation is very bleak, we don't even have water... I only have my pen, I'll throw it at the occupation soldiers if they invade, even if that's the last thing I do. We have nothing to lose.""  My brother was martyred by the Israeli occupation in the 2014 war, and today, I bid you farewell. My family and I are going to paradise next to my brother.  Dr. Rafat was martyred in an assassination carried out by the Israeli occupation. He and his family were martyred today, December 7, 2023.",24560,"Dec 7, 2023 · 8:27 PM UTC"
23,@helensclegel,Israel now admits it overestimated by hundreds the number of Israelis killed on 7th October.  They also admit the Gaza Ministry of Health data on Palestinians killed are accurate.  Will our media and politicians learn to stop believing Israel and start trusting Palestinians?,2900,"Dec 7, 2023 · 9:47 AM UTC"
24,@Lowkey0nline,"""What should we do? drown? commit mass suicide, is that what Israel wants?""  The haunting words of Dr. Refaat al-Areer, who has now been killed by Israel in Gaza.",36083,"Dec 7, 2023 · 8:13 PM UTC"
25,@Amyisroel_Chai,""" who spent his life trying to get Gaza's voice to the outside world.""  if that's Gaza's voice the world should know why there is no peace.  Spoiler alert it's not the fault of Israel",0,"Dec 8, 2023 · 3:47 AM UTC"
26,@Majstar7,"“I was in Ukraine 🇺🇦 when families just like these [Palestinians] were forced to flee, and the world opened its heart to them. I do not understand now why the world has closed its eyes.”   - UNICEF Spokesman @1james_elder reporting live from Gaza 🇵🇸 #StopGazaGenocide",17514,"Dec 7, 2023 · 7:58 AM UTC"
27,@_GeorgieBlaise,"HAPPENING NOW: over 1,000 trade unionists simultaneously shut down 4 UK arms factories which help produce Israeli fighter jets being used to bombard Gaza.  Over 600 people blockading 3 entrances at Bournemouth factory. Hundreds of others in Glasgow, Lancashire & Brighton 🇵🇸♥️",9562,"Dec 7, 2023 · 8:40 AM UTC"
28,@wrcaifear,There are videos of IDF Muslims officers being honored by Israelis after October 7 massacre. The Muslims in Israel are treated better than those in Gaza,0,"Dec 8, 2023 · 3:47 AM UTC"
29,@GoodMorningCapt,They don't want to defeat Hamas. They want to conquer Gaza and incorporate it into their state. It's obvious. They don't hide it. You are a supporter of genocide. You are campaigning for Trump and dictatorship in the United States. Have a little shame.,0,"Dec 8, 2023 · 3:47 AM UTC"
30,@Dalia1639452,"🔻 Imagine: doing everything possible to have baby, then, once   finally there, u lost him in seconds by the occupation's hysterical bombing. #IsraeliNewNazism #Gaza_Genocide #StopArmingIsrael #Israel",0,"Dec 8, 2023 · 3:47 AM UTC"
31,@MarinaMedvin,Why does Israel have to win in Gaza? Because Israel is the promise to the Jewish people that they will never again be defeated.  #NeverAgainIsNow,141,"Dec 8, 2023 · 3:21 AM UTC"
32,@mhdksafa,"""61 days we screamed and no one answered""  Your silence is deafening. I strongly condemn your silence. Don’t stop talking about Gaza.",15568,"Dec 7, 2023 · 6:19 PM UTC"
33,@MuhammadSmiry,Our friend Refaat is no longer alive. #Gaza,67342,"Dec 7, 2023 · 8:09 PM UTC"
34,@DrKarimWafa,"They dehumanised Palestinian men but they don’t show you that Palestinian men are digging under the rubble with their own hands to save people, that Palestinian men are caring for injured babies across Gaza and that Palestinian men are praying and singing amidst their suffering.",4606,"Dec 7, 2023 · 2:48 PM UTC"
35,@JehadAbusalim,Gaza's archives are gone. These archives documented a history deeply rooted long before immigrants from Eastern Europe arrived in our country.,43383,"Dec 6, 2023 · 8:17 PM UTC"
36,@azaizamotaz9,Shejaiya is in the east of Gaza city Khan younis is a city inside the strip  At least before you lie just try to know about Gaza Strip places  These are civilians from the north of Gaza Strip,50157,"Dec 7, 2023 · 4:22 PM UTC"
37,@Wasimakramjr,ALLAH'S PLAN 🤲 #PSL9 #PSL2024 #NaseemShah #BabarAzam #BabarAzam𓃵 #PSL9Draft #AhmadShahzad #AUSvPAK #AUSvsPAK #pakvaus #PAKVSAUS #rizwan #ShanMasood #Shan not out ayesha omer #Gaza #fcklive,8,"Dec 7, 2023 · 1:24 PM UTC"
38,@itranslate123,The Democratic Party and Biden are responsible for the Gaza genocide perpetrated by Israel.,67904,"Dec 4, 2023 · 5:00 AM UTC"
39,@TheHayoooosh,"🚨FAKE NEWS : those are NOT hamas members ! 🚨  The IOF have captured  100 unarmed displaced civilians from their shelters in the schools - Northern Gaza ,  And forced them to take their clothes off , threatens them of executing  them plus the continuous abuse . #Gaza #Gaza_Genocide #CeasefireForGazaNOW #GazaHoloucast",1018,"Dec 7, 2023 · 4:32 PM UTC"
40,@leylahamed,"Refaat Al-Areer, Palestinian writer, posted this days ago: “If I get killed by Israeli bombs or my family is harmed, I blame Bari Weiss and her likes.” He was murdered along with his family yesterday. He was one of the best academics and strongest voices from Gaza.",81,"Dec 7, 2023 · 9:45 PM UTC"
41,@RamiJarrah,"The moment Aljazeera Journalist Momen Al-Sharafi breaks the news that his entire family of 21 members were just killed in an Israeli Airstrike in #Gaza.  The look he gives as he is no longer able to talk, is heartbreaking.",9586,"Dec 7, 2023 · 8:30 AM UTC"
42,@POTUS,"I spoke with King Abdullah II of Jordan today to discuss the latest developments in Gaza, reiterating my commitment to increasing the delivery of humanitarian assistance to Palestinian civilians in Gaza.  We agreed we cannot stop working together towards a durable, sustainable peace in the Middle East.",2799,"Dec 8, 2023 · 1:20 AM UTC"
43,@comrade_sweezy,U.S. officials: “This is a targeted operation and the IDF takes every feasible precaution to prevent civilian casualties”  Israeli soldier: *writes “to the people of Gaza with love” on bombs  to be dropped on refugee camps*,1822,"Dec 7, 2023 · 3:04 AM UTC"
44,@mhdksafa,This photo needs to be the front page of every news paper in the world.  People at UN distribution points - 2.2 million people are food insecure. People are dying from bombs and soon many will die from consequences of the siege imposed on Gaza. Don’t stop talking about Gaza.,54702,"Dec 7, 2023 · 11:41 AM UTC"
45,@yumna_patel,Women in Gaza don’t have sanitary pads or formula to feed their babies. Women doctors and journalists are being killed. Young women students don’t have universities anymore. Pregnant women are being bombed. But really happy for these girl bosses. 👸🏼,28760,"Dec 7, 2023 · 5:24 PM UTC"
46,@mhdksafa,Nowhere is safe in Gaza. Nowhere is safe in Gaza. Nowhere is safe in Gaza.  Keep pushing for a ceasefire. Don’t stop talking about Gaza.,29126,"Dec 7, 2023 · 6:46 AM UTC"
47,@JordanUhl,Weird how everyone in Gaza who's in a position to effectively communicate and demonstrate what Israel is doing keeps dying. Probably just a coincidence!,9134,"Dec 7, 2023 · 10:05 PM UTC"
48,@Bernadotte22,"A short while ago, the Israeli occupation forces kidnapped more than 100 unarmed Palestinians in front of their children and women from a school for displaced people in the northern Gaza Strip, took them to an open area, executed them in cold blood, one after the other, and threw them into a pit. 🇵🇸 Among them are children as young as 15 years old. #IsraelisISIS",862,"Dec 7, 2023 · 11:51 PM UTC"
