,username,text,likes,date
0,@SabbySabs2,Remember when the IDF attacked the funeral procession of Shireen? Was this Hamas? No it wasn't. They killed her and then beat Palestinians for holding a funeral for her.,71527,"Dec 6, 2023 · 6:30 PM UTC"
1,@SkyNewsAust,Foreign Minister Penny Wong is set to visit Israel and the Middle East in the coming weeks to encourage key regional counterparts to bring an end to the Israel-Hamas conflict.  https://www.skynews.com.au/australia-news/politics/penny-wong-set-to-visit-israel-and-middle-east/video/957367885194018d88983f9e4029d0c9,31,"Dec 8, 2023 · 12:29 AM UTC"
2,@LoganLevkoff,Hey @ABC7NY the “Ceasefire for Hanukkah” event is in NO way representative of Hanukkah activities in the city and is being run by Hamas apologists. It is horrible to suggest on our morning news that this is a celebration. You have just amplified a bunch of antisemites.,100,"Dec 7, 2023 · 11:38 AM UTC"
3,@KosherKockney,You wanna talk about how Hamas “don’t wear sandals?”  “Hamas don’t wear civilian clothes”  What the f*ck is this then?,1055,"Dec 7, 2023 · 11:13 PM UTC"
4,@OliLondonTV,At least 100 Hamas terrorists captured by IDF Forces today.   Pro-Palestinian accounts are attempting to claim these people are ‘innocent civilians’ and ‘journalists.’  These terrorists are from the Shejaiya Battalion operates in the Shejaiya neighborhood of Gaza and is responsible for numerous attacks against Israel.   They were heavily involved in the October 7th attacks in Israel.,5734,"Dec 7, 2023 · 10:27 PM UTC"
5,@OliLondonTV,"Gaza on Oct 7th vs Now. ⬇️  2 months ago Palestinians took to the streets of Gaza celebrate the terrorists that massacred 1,200 people in Israel.   Today, IDF have detained many of those who committed the atrocities on that day from the Hamas Shejaiya Battalion.",21179,"Dec 7, 2023 · 5:17 PM UTC"
6,@10081N,Trying to achieve fake victory by claiming that you have caught Hamas but you kidnapped citizens? Death to you,0,"Dec 8, 2023 · 3:55 AM UTC"
7,@OliLondonTV,"IDF forces have surrounded the home of the Hamas leader who orchestrated Oct 7th.   Yahya Sinwar who is dubbed ‘The Butcher of Khan Younis’ was responsible for 1,200 people being massacred during the Hamas attack on Israel.   Forces are now surrounding his home where he is thought to be hiding underground.   Source: NBC News",16677,"Dec 7, 2023 · 1:35 PM UTC"
8,@OliLondonTV,"Maya Goren was the nanny to 10 month old Kfir Bibas.   On Oct 7th she was kidnapped alongside the baby boys entire family.   Her husband, Avner, was executed on Oct 7th in Nir Oz.   She has now been killed by Hamas during captivity and they are refusing to release her body.",7908,"Dec 7, 2023 · 5:52 AM UTC"
9,@realDailyWire,A group of Arab peace activists sat through the 47 minutes of footage from Hamas October 7 massacre against Israeli civilians  This is their response:,1177,"Dec 8, 2023 · 12:07 AM UTC"
10,@DrLoupis,Look what Hamas did.  Wait. That was @IDF 🇮🇱,17608,"Dec 7, 2023 · 3:53 PM UTC"
11,@AjaRaden,"After Hamas GoPro-ed the torture, mutilation & mass rape of 1200+ people & dragged around naked, broken bodies to spit & urinate on; they have a flaming fuck of a lot of nerve screaming they’re being deliberately & excessively humiliated by being strip-searched for explosives.",7,"Dec 8, 2023 · 3:48 AM UTC"
12,@HungCao_VA,"It was @JoeBiden's foreign policy failures in the Middle East that started the conflict. Don't forget his actions enabled the Taliban to take over Afghanistan, just like his actions enabled Hamas to murder hundreds of Israelis on Oct. 7th.  https://www.timesofisrael.com/democratic-support-for-biden-ticks-upward-over-handling-of-israel-hamas-war-poll/",63,"Dec 7, 2023 · 8:25 PM UTC"
13,@mishtal,"Just a reminder.  Every single death. Israeli or Palestinian, man woman or child -  Every single one. They are all on Hamas.  These are choices Hamas made. If you disagree with me then answer this:  Why is Hamas still holding hostages?",3749,"Dec 7, 2023 · 4:16 PM UTC"
14,@ShibleyTelhami,"For those who back the vague aim of ""destroying Hamas"", no matter what the costs are, read what a former president of the ICC says about the doctrine of ""self-defense"": https://www.lawfaremedia.org/article/calibrating-proportionality-and-self-defense-in-gaza",5,"Dec 8, 2023 · 3:45 AM UTC"
15,@DrEliDavid,Hamas: There is no food in Gaza  Hamas terrorists surrendering today: 👇,19083,"Dec 7, 2023 · 8:24 PM UTC"
16,@HilzFuld,"Thank you Hashem for letting the Jewish people start Hanukah with a smile thanks to this mass surrender of Hamas terrorists in Gaza. This should be the first of many! Thank you, IDF! 🙏🇮🇱💪❤️",19010,"Dec 7, 2023 · 2:12 PM UTC"
17,@fr0gan,a friend of mine called to cancel their monthly donation to planned parenthood after this statement and the operator said “thank you for your support of hamas” and hung up on them,32409,"Dec 7, 2023 · 4:29 PM UTC"
18,@UriahCanaff,"Stripped to their underwear, 150 #Hamas detainees were taken from #Gaza into Israel @wallanews",23,"Jul 23, 2014 · 9:14 PM UTC"
