,username,text,likes,date
0,@SoulRevision,"Israel has long exploited the labor of Palestinians & migrant workers. Since their reign of terror has led to a loss of exploitable workers, they’ll rely on the labor of Africans from Malawi & Kenya.  These govts are a serving the settler colonial interests of Israel/US. pathetic",679,"Dec 7, 2023 · 9:52 PM UTC"
1,@KentTruth25193,"Agree on one lie: 🚨Israel's Public Broadcasting Corporation admits those are NOT Hamas militants  It's random men & teenagers detained arbitrarily without charges, trial or legal counsel to ""check *IF* some of them are Hamas terrorists""  Meaning civilians are presumed guilty until proven innocents",1249,"Dec 7, 2023 · 9:45 PM UTC"
2,@sueannajoe_,Innalillahiwainnalillahirajiun. Refaat is one of the journalists in Gaza I have been following. Israel killed him along with several family members  My heart breaks 💔  May his Jihad be rewarded 🤲🏻,28,"Dec 8, 2023 · 2:00 AM UTC"
3,@Lowkey0nline,"""What should we do? drown? commit mass suicide, is that what Israel wants?""  The haunting words of Dr. Refaat al-Areer, who has now been killed by Israel in Gaza.",35674,"Dec 7, 2023 · 8:13 PM UTC"
4,@missfalsteenia,Israel killed Soso’s best-friend.,1558,"Dec 8, 2023 · 12:20 AM UTC"
5,@SenJohnKennedy,"Some people in Washington seem confused as to why America backs Israel.   In Louisiana, we understand that the debased people who slaughtered hundreds of young people at a peace concert are the bad guys.",3745,"Dec 7, 2023 · 5:52 PM UTC"
6,@itranslate123,The Democratic Party and Biden are responsible for the Gaza genocide perpetrated by Israel.,67238,"Dec 4, 2023 · 5:00 AM UTC"
7,@JacksonHinkleee,A child is hugged by his mother after their home was targeted by Israel. #Gaza #Gaza_Genocide #أبوعبيدة #JusticeForDisha #MahuaMoitra #NawabMalik #ViratKohli #IsraelTerorrist #PalestineGenocide,3,"Dec 8, 2023 · 3:23 AM UTC"
8,@MarieColemanAO,Israel has completely lost public opinion in the world   beyond the Middle East. No one will forget the treatment of the Palestinian people.,96,"Dec 8, 2023 · 2:57 AM UTC"
9,@SecDef,"I spoke today with Israeli Minister of Defense Gallant and stressed Israel’s right to self-defense and the importance of mitigating civilian harm, increasing humanitarian assistance, and curbing extremist violence in the West Bank.  I also expressed concern over cross-border attacks along the Israel-Lebanon border and Houthi aggression in the Red Sea.   https://www.defense.gov/News/Releases/Release/Article/3611209/readout-of-secretary-of-defense-lloyd-j-austin-iiis-call-with-israeli-minister/",405,"Dec 8, 2023 · 1:43 AM UTC"
