,username,text,likes,date
0,@CensoredMen,🇵🇸🇮🇱 Israel murdered this innocent baker who fed his camp in Palestine.  RIP Omar Manaa 💔🕊️,22849,"Dec 7, 2023 · 11:12 PM UTC"
1,@CRYPTIDW00RM,heres that vashwood howl's moving castle redraw 👼🕊,8605,"Mar 12, 2023 · 12:14 AM UTC"
2,@mhdksafa,"Child deaths in wars:  Iraq: 3,100 in 14 years Syria: 12,000 in 11 years Yemen: 3,700 in 7 years  Ukraine:  520 in 21 months  Palestine: ~12,000 in 2 months.  Does the world condemn the killing of children or is it complicated when it is Middle Eastern children?",73489,"Dec 6, 2023 · 6:33 PM UTC"
3,@AkMashal,Imran khan Message for the People of Palestine 🇵🇸  Pakistan stands with Palestine 🇵🇸,1061,"Dec 7, 2023 · 7:29 PM UTC"
4,@StopAntisemites,"Albany, NY - Temple Israel Synagogue shooter has been identified as 28 year old Mufid Fawaz Alkhader.   Alkhader, yelled ""Free Palestine"" as he shot off a round on the premises of Temple Israel and appeared to have torn down an Israeli flag or sign, according to law enforcement.   Alkhader appears to be a foreign national.",315,"Dec 8, 2023 · 3:27 AM UTC"
5,@drtruthe,Families fleeing from War zone and world has closed eyes  Hypocrisy at it's very best #Gaza #Gaza_Geniocide #GazaHolocaust #Palestine #IsraelApartheidState #IsraeliLies,20,"Dec 8, 2023 · 1:49 AM UTC"
6,@krystalball,This was his final tweet,33967,"Dec 7, 2023 · 8:12 PM UTC"
7,@missfalsteenia,Be ashamed if you stopped talking about Palestine.  Do you realize that Gaza doesn’t even want your money? All Gaza wants is for people to keep talking about them. Gaza counts on you to be their voice & to humanize them. Keep talking about Palestine. Keep talking about Gaza.,73400,"Dec 6, 2023 · 4:08 AM UTC"
8,@usamabroad,"You can same thing about the Palestine people, they are nomadic people, as Palestine was only a region",276,"Dec 7, 2023 · 1:29 AM UTC"
9,@SaeedDiCaprio,the fact that she can just go there to help with ethnic cleansing but palestinians don’t have the right to go back to their own land is actually insane,71628,"Dec 7, 2023 · 6:18 PM UTC"
10,@SpotlightForYou,Israel isn't defending itself @SenatorWong It is defending its illegal occupation over Palestinian lands &committing countless war crimes in the process Your abject defence of Israel's genocide & ethnic cleansing is a dim reflection of your character Palestine HasA Right To Exist,49,"Dec 8, 2023 · 1:54 AM UTC"
11,@Shortie_314,This was NEVER about Hamas.,10497,"Dec 7, 2023 · 10:11 PM UTC"
12,@alicehenryli,this is so inhumane the UN is pure evil i fucking hate the UN,26468,"Dec 7, 2023 · 1:01 PM UTC"
13,@_Pal4ever_,West’s understanding of democracy….  #FreePalestine #SahabatPalestina_ID #ForeverPalestine 🇵🇸,79,"Sep 18, 2023 · 11:06 PM UTC"
14,@Aldanmarki,"One of Refaat's last messages to the world.  ""We will win. And Gaza and Palestine will prevail"".",9786,"Dec 7, 2023 · 7:57 PM UTC"
15,@yoongienthusias,"every palestinian until their last breath until they were martyred by israel has been nothing but hopeful, we owe it to them to not stop talking about palestine. to be on the streets harder, louder stronger. we have no right to lose hope, when they didn’t.",489,"Dec 7, 2023 · 8:30 PM UTC"
16,@manic_femme,Apparently not and I absolutely could not relate if you PAID me,1,"Dec 8, 2023 · 3:38 AM UTC"
17,@tom_western,"Refaat Alareer got his masters degree from the university I teach at, which in the last two months has said exactly zero about genocide, has ignored calls to divest from funding the Israeli military, and has tried to intimidate people expressing support for Palestine",13291,"Dec 7, 2023 · 9:57 PM UTC"
18,@jakeshieldsajj,"700k Israeli settlers are illegally living in Palestine   They steal homes, beat and rape women and children, humiliate men   When Palestinians stand up for themselves they kill them and call them terrorist   The entire intentional world condemns this but it does stiop them",34086,"Dec 7, 2023 · 5:26 PM UTC"
19,@docstobar,If you listen to liberals talking about how things in Palestine are so complicated you will realize how slavery lasted so long.,12170,"Dec 7, 2023 · 3:22 PM UTC"
20,@Muarrafah297107,Jerusalem is the capital of Palestine,5,"Dec 7, 2023 · 5:14 AM UTC"
21,@DiscussingFilm,The first teaser for Hideo Kojima and Jordan Peele’s new horror game ‘OD’.  Starring Hunter Schafer and Sophia Ellis.,10929,"Dec 8, 2023 · 2:08 AM UTC"
22,@DrKarimWafa,"Muslims, Christians and Jews have lived together in peace side-by-side in Palestine for centuries.  Religion is NOT the problem.  The problem is settler colonialism and the occupation of indigenous land.",6705,"Dec 7, 2023 · 4:23 AM UTC"
23,@G4M3CUB9,@sebseb122_ no problem,0,"Dec 8, 2023 · 3:38 AM UTC"
24,@jennineak,"Read Refaat’s poem If I Must Die (tadamon kite, Palestine) among his other writings a few days ago in London. Rest in peace and power Refaat. I wish this never happened, I honestly have no words but yours",849,"Dec 7, 2023 · 10:43 PM UTC"
25,@5Pillarsuk,"""Keir, how many more children in Palestine have to die before you call for a ceasefire?""  Labour leader Keir Starmer is confronted by a fellow passenger while on a train in Scotland.",5583,"Dec 7, 2023 · 4:49 PM UTC"
26,@ionebelarra,Colonialism is behind the genocide in Palestine by Israel.,36992,"Dec 7, 2023 · 8:00 AM UTC"
27,@Anatachiabe,"You taking quote from someone that even have no Power  in Palestine, while ignored racist ukrainan atheis refugee that said ""I'm Palestinian"" aka Golda Meir, everyone that lived in that territory of Palestine was considered Palestinian whether they were Jews or Arabs",0,"Dec 8, 2023 · 3:38 AM UTC"
28,@mhdksafa,"""61 days we screamed and no one answered""  Your silence is deafening. I strongly condemn your silence. Don’t stop talking about Gaza.",15080,"Dec 7, 2023 · 6:19 PM UTC"
29,@mehdirhasan,"While members of Congress hold hearings on college campus slogans, this is what the military aid they signed off on is paying for. They don’t want to talk about this.",15609,"Dec 6, 2023 · 11:46 PM UTC"
30,@brownblaze,"so, slavery??",17587,"Dec 7, 2023 · 7:41 PM UTC"
31,@youtubemusic,it’s GagTube now,16223,"Dec 7, 2023 · 9:17 PM UTC"
32,@AGHamilton29,28 year-old man brought a shotgun to the premises of a Synagogue in Albany today and fired several shots. Luckily no one was hurt before he was apprehended. He reportedly shouted “Free Palestine” multiple times as he was being detained.   https://www.nydailynews.com/2023/12/07/albany-temple-israel-synagogue-shots-fired/,1302,"Dec 8, 2023 · 12:48 AM UTC"
33,@_yassssmin,I don’t understand how people hear Palestinians begging for Israel to stop killing them and make it about themselves and how THEY feel unsafe that is ridiculous how do you see 20k people dead & still believe you are the victim miles away in the safety of your home FUCK YOU,39603,"Dec 6, 2023 · 5:21 PM UTC"
34,@KatanaSpeaks,"TikTok banned @WomenPhilosophers after I posted videos on:  How children are being raped in Israeli prisons & Israel is covering it up and,  How Israel plans on salting Gaza which will render the land uninhabitable  My new TikTok page is @HanaKatanaDragonSlayer   Free Palestine🇵🇸",5739,"Dec 7, 2023 · 6:54 AM UTC"
35,@whitewomanspam,HIS PETER??!:!;84&383$3,0,"Dec 8, 2023 · 3:38 AM UTC"
36,@missfalsteenia,Keep talking about Palestine.,15059,"Dec 7, 2023 · 2:32 PM UTC"
37,@nemahsis,"someone once said @taylorswift13 is only a feminist when it benefits her career & protects her whiteness. 62 days later, taylor hasn’t spoke up for the women in Palestine & since has decided to air her movie in israel despite the ongoing genocide.",4287,"Dec 7, 2023 · 6:05 PM UTC"
38,@Sassafrass_84,"What about East Palestine? Hawaii? Flint, Michigan?   Why isn't this is a priority? I'm sick of watching every country benefit from our tax dollars, and we can't take care of our own people.   Idk about y'all, but when I have a problem in my own home and need to fix issues, I do. I dont let my family suffer. Americans shouldn't either.",640,"Dec 8, 2023 · 12:36 AM UTC"
39,@congee4lunch,"this is genocide and ethnic cleansing btw. the systematic erasure of an entire nation is not limited to killing. it’s also the eradication of landmarks, culture, and history—until what is known as “palestine” is completed wiped. if you stand with israel you stand with colonialism",18133,"Dec 4, 2023 · 9:07 PM UTC"
40,@AhmedNehadKh,"I feel guilty because he asked us never to give up. To keep talking. To raise our voices. It cost him his life. And here I am, teetering on the brink of silence. Habibi doctor I don't want to let you down. I won't let your legacy be in vain. I vow to find my voice, for you.",2580,"Dec 8, 2023 · 12:49 AM UTC"
41,@JewishWonk,"When they show up to our synagogues with guns screaming ""free Palestine"" can we finally acknowledge that there's a problem this global movement needs to confront? Or do we wait for them to kill Jews?   It's not an academic question for Jews.",305,"Dec 8, 2023 · 2:31 AM UTC"
42,@norabf,Bring Israel to its fucking knees. break this terrorist state for once and for all,18939,"Dec 7, 2023 · 8:08 PM UTC"
43,@jackmabou,"I encourage all Zionist propagandists who run cover for mass murder and genocide by spreading heinous, racists lies about the Palestinians, to look at the example of Julius Streicher, think long and hard before you post your garbage again",0,"Dec 8, 2023 · 3:38 AM UTC"
44,@demmers15,"Well with that logic, since the Nakba was fine, Oct 7th is fine then because Palestine was paying back from that at the 75 years of oppression?",0,"Dec 8, 2023 · 3:38 AM UTC"
45,@Moqawamah_eng,"🔴🇮🇶 Al-Nujaba sends a direct warning to US President Joe Biden demanding that he withdraw his forces from Iraq, or else ""they will be returned in pieces.""",536,"Dec 7, 2023 · 7:19 PM UTC"
46,@_Pal4ever_,#Palestinians have the right to fight against oppression  #FreePalestine #SahabatPalestina_ID #ForeverPalestine 🇵🇸,58,"Sep 7, 2023 · 12:12 AM UTC"
47,@carstairsbur,"anyways congratulations to IronMouse, a diasbled puerto rican, who has also smashed records just this year. A month long subathon with proceeds going to the Immune Deficiency Foundation, surpassing her record of 171,818 subs, peaking at 205,488 subs, reaching # 1 current most",2461,"Dec 8, 2023 · 2:22 AM UTC"
48,@canarymission,"🔴  Nada Abuasi is a leading organizer with the Philly Palestine Coalition, the group behind the post-Oct. 7 protests taking over Philly. “The streets are ours and we can take it anytime we want. And we will…until liberation comes,” says Abuasi. https://canarymission.org/individual/Nada_Abuasi",685,"Dec 7, 2023 · 7:30 PM UTC"
49,@CRYPTIDW00RM,tried to make a new guy a few weeks ago,2264,"Mar 21, 2023 · 3:12 AM UTC"
50,@winterhartarts,COME ON BG3!!!!! HELL YES!!!!,0,"Dec 8, 2023 · 3:38 AM UTC"
